tconst,averageRating,numVotes,titleType,title,originalTitle,isAdult,year,runtimeMinutes,imdb_genres
tt0029811,6.9,9471,movie,young and innocent,Young and Innocent,0,1937,80,"Crime,Mystery,Romance"
tt0029843,7.9,50223,movie,the adventures of robin hood,The Adventures of Robin Hood,0,1938,102,"Action,Adventure,Romance"
tt0029855,6.7,2773,movie,algiers,Algiers,0,1938,96,"Drama,Mystery,Romance"
tt0029947,7.8,60344,movie,bringing up baby,Bringing Up Baby,0,1938,102,Comedy
tt0029992,7.5,7395,movie,a christmas carol,A Christmas Carol,0,1938,69,"Drama,Family,Fantasy"
tt0030341,7.8,51368,movie,the lady vanishes,The Lady Vanishes,0,1938,96,"Mystery,Thriller"
tt0030993,7.8,25245,movie,you can't take it with you,You Can't Take It with You,0,1938,126,"Comedy,Drama,Romance"
tt0031381,8.2,307793,movie,gone with the wind,Gone with the Wind,0,1939,238,"Drama,History,Romance"
tt0031397,6.6,4294,movie,gulliver's travels,Gulliver's Travels,0,1939,76,"Adventure,Animation,Comedy"
tt0031505,6.3,9954,movie,jamaica inn,Jamaica Inn,0,1939,108,"Adventure,Crime"
tt0031580,7.2,6057,movie,the little princess,The Little Princess,0,1939,93,"Comedy,Drama,Family"
tt0031612,6.1,238,movie,the man from down under,The Man from Down Under,0,1943,103,"Action,Comedy,Drama"
tt0031679,8.1,113602,movie,mr. smith goes to washington,Mr. Smith Goes to Washington,0,1939,129,"Comedy,Drama"
tt0031725,7.9,20707,movie,ninotchka,Ninotchka,0,1939,110,"Comedy,Romance"
tt0031762,7.7,13790,movie,only angels have wings,Only Angels Have Wings,0,1939,121,"Adventure,Drama,Romance"
tt0031951,7.1,10125,movie,son of frankenstein,Son of Frankenstein,0,1939,99,"Drama,Horror,Sci-Fi"
tt0032022,6.8,2274,movie,they made me a criminal,They Made Me a Criminal,0,1939,92,"Crime,Drama,Film-Noir"
tt0032138,8.1,385976,movie,the wizard of oz,The Wizard of Oz,0,1939,102,"Adventure,Family,Fantasy"
tt0032143,7.8,13598,movie,the women,The Women,0,1939,133,"Comedy,Drama"
tt0032215,4.6,1831,movie,the ape,The Ape,0,1940,62,Horror
tt0032234,7.1,7156,movie,the bank dick,The Bank Dick,0,1940,72,Comedy
tt0032283,6.1,1073,movie,british intelligence,British Intelligence,0,1940,61,"Romance,Thriller,War"
tt0032383,6.8,2624,movie,dark command,Dark Command,0,1940,94,Western
tt0032455,7.7,93933,movie,fantasia,Fantasia,0,1940,125,"Animation,Family,Fantasy"
tt0032484,7.5,20457,movie,foreign correspondent,Foreign Correspondent,0,1940,120,"Action,Romance,Thriller"
tt0032551,8.1,90638,movie,the grapes of wrath,The Grapes of Wrath,0,1940,129,Drama
tt0032553,8.4,218313,movie,the great dictator,The Great Dictator,0,1940,125,"Comedy,Drama,War"
tt0032590,6.6,73,movie,hi-yo silver,Hi-Yo Silver,0,1940,69,"Family,Western"
tt0032599,7.9,57471,movie,his girl friday,His Girl Friday,0,1940,92,"Comedy,Drama,Romance"
tt0032762,7.5,10048,movie,the mark of zorro,The Mark of Zorro,0,1940,94,"Action,Adventure,Family"
tt0032818,6.0,4020,movie,the mummy's hand,The Mummy's Hand,0,1940,67,"Adventure,Fantasy,Horror"
tt0032881,6.6,2582,movie,our town,Our Town,0,1940,90,"Drama,Family,Romance"
tt0032904,7.9,67816,movie,the philadelphia story,The Philadelphia Story,0,1940,112,"Comedy,Romance"
tt0032910,7.5,140694,movie,pinocchio,Pinocchio,0,1940,88,"Adventure,Animation,Comedy"
tt0032976,8.1,133979,movie,rebecca,Rebecca,0,1940,130,"Drama,Film-Noir,Mystery"
tt0033021,6.2,3687,movie,santa fe trail,Santa Fe Trail,0,1940,110,"War,Western"
tt0033045,8.1,32157,movie,the shop around the corner,The Shop Around the Corner,0,1940,99,"Comedy,Drama,Romance"
tt0033467,8.3,431258,movie,citizen kane,Citizen Kane,0,1941,119,"Drama,Mystery"
tt0033563,7.3,128553,movie,dumbo,Dumbo,0,1941,64,"Adventure,Animation,Drama"
tt0033729,7.7,23596,movie,how green was my valley,How Green Was My Valley,0,1941,118,"Drama,Family"
tt0033804,7.8,21040,movie,the lady eve,The Lady Eve,0,1941,94,"Comedy,Romance"
tt0033870,8.0,155859,movie,the maltese falcon,The Maltese Falcon,0,1941,100,"Crime,Film-Noir,Mystery"
tt0033891,7.6,13345,movie,meet john doe,Meet John Doe,0,1941,135,"Comedy,Drama,Romance"
tt0033922,6.3,10232,movie,mr. & mrs. smith,Mr. & Mrs. Smith,0,1941,95,"Comedy,Romance"
tt0034012,7.1,7023,movie,penny serenade,Penny Serenade,0,1941,119,"Drama,Romance"
tt0034055,6.0,1730,movie,pot o' gold,Pot o' Gold,0,1941,86,"Comedy,Musical,Romance"
tt0034240,7.9,25893,movie,sullivan's travels,Sullivan's Travels,0,1941,90,"Adventure,Comedy,Drama"
tt0034248,7.3,37510,movie,suspicion,Suspicion,0,1941,99,"Film-Noir,Mystery,Thriller"
tt0034398,7.2,26332,movie,the wolf man,The Wolf Man,0,1941,70,"Horror,Mystery,Romance"
tt0034492,7.3,139352,movie,bambi,Bambi,0,1942,70,"Adventure,Animation,Drama"
tt0034583,8.5,555195,movie,casablanca,Casablanca,0,1942,102,"Drama,Romance,War"
tt0034742,6.7,3871,movie,flying tigers,Flying Tigers,0,1942,102,"Action,Drama,Romance"
tt0034786,6.1,6082,movie,the ghost of frankenstein,The Ghost of Frankenstein,0,1942,67,"Drama,Horror,Sci-Fi"
tt0034862,7.4,15196,movie,holiday inn,Holiday Inn,0,1942,100,"Comedy,Drama,Music"
tt0034889,6.3,1312,movie,in old california,In Old California,0,1942,88,Western
tt0034950,5.3,29,movie,harlem,Harlem,0,1943,80,"Crime,Drama"
tt0035093,7.6,17338,movie,mrs. miniver,Mrs. Miniver,0,1942,134,"Drama,Romance,War"
tt0035096,5.6,3255,movie,the mummy's tomb,The Mummy's Tomb,0,1942,61,"Drama,Fantasy,Horror"
tt0035169,7.5,11695,movie,the palm beach story,The Palm Beach Story,0,1942,88,"Comedy,Romance"
tt0035279,7.1,25323,movie,saboteur,Saboteur,0,1942,109,"Thriller,War"
tt0035446,8.2,35449,movie,to be or not to be,To Be or Not to Be,0,1942,99,"Comedy,Romance,War"
tt0035896,6.8,9194,movie,for whom the bell tolls,For Whom the Bell Tolls,0,1943,170,"Adventure,Drama,History"
tt0035899,6.4,8667,movie,frankenstein meets the wolf man,Frankenstein Meets the Wolf Man,0,1943,74,"Fantasy,Horror,Sci-Fi"
tt0035966,7.4,5369,movie,hangmen also die!,Hangmen Also Die!,0,1943,134,"Drama,Film-Noir,Thriller"
tt0036094,6.3,2377,movie,lady of burlesque,Lady of Burlesque,0,1943,91,"Comedy,Music,Mystery"
tt0036241,5.4,4442,movie,the outlaw,The Outlaw,0,1943,116,Western
tt0036261,6.4,7182,movie,phantom of the opera,Phantom of the Opera,0,1943,92,"Drama,Horror,Music"
tt0036326,6.1,6522,short,saludos amigos,Saludos Amigos,0,1942,42,"Adventure,Animation,Comedy"
tt0036342,7.8,64075,movie,shadow of a doubt,Shadow of a Doubt,0,1943,108,"Film-Noir,Thriller"
tt0036376,6.1,5220,movie,son of dracula,Son of Dracula,0,1943,80,"Drama,Fantasy,Horror"
tt0036613,7.9,69752,movie,arsenic and old lace,Arsenic and Old Lace,0,1943,118,"Comedy,Crime,Thriller"
tt0036653,5.9,1854,movie,bluebeard,Bluebeard,0,1944,72,"Crime,Horror,Thriller"
tt0036775,8.3,153169,movie,double indemnity,Double Indemnity,0,1944,107,"Crime,Drama,Film-Noir"
tt0036824,6.5,3600,movie,the fighting seabees,The Fighting Seabees,0,1944,100,"Drama,Romance,War"
tt0036855,7.8,27748,movie,gaslight,Gaslight,0,1944,114,"Crime,Drama,Mystery"
tt0036868,8.1,62258,movie,the best years of our lives,The Best Years of Our Lives,0,1946,170,"Drama,Romance,War"
tt0036872,7.1,11749,movie,going my way,Going My Way,0,1944,126,"Comedy,Drama,Music"
tt0036931,6.2,6780,movie,house of frankenstein,House of Frankenstein,0,1944,71,"Fantasy,Horror,Sci-Fi"
tt0037008,7.9,46399,movie,laura,Laura,0,1944,88,"Drama,Film-Noir,Mystery"
tt0037017,7.6,28529,movie,lifeboat,Lifeboat,0,1944,97,"Drama,War"
